StandortName;ProduzentName;ProduktBezeichnung;Datum;GelieferteMenge;VerkaufteMenge;Umsatz;EinkaufsMenge;EinkaufsBetrag
Kiosk Solothurn;;Peperoni;2026-08-05;15.3;12.7;50.8;;
Kiosk Rueti;;Kopfsalat;2026-08-06;9.1;6.8;10.2;;
Kiosk Dulliken;;Randen;2026-08-07;29.0;23.2;41.76;;
Kiosk Kriens;;Tomaten;2026-08-07;22.7;21.5;64.5;;
Kiosk Wattenwil;;Karotten;2026-08-06;8.8;6.9;12.42;;
;Gemuesegarten Ryser;Zucchetti;2026-08-08;;;;63.2;69.52
Kiosk Thun;;Tomatten;2026-08-05;23.5;13.4;40.2;;
Kiosk Rothenburg;;Peperoni;2026-08-06;8.7;5.8;23.2;;
Kiosk Opfikon;;Peperoni;2026-08-06;29.3;24.3;97.2;;
Kiosk Steffisburg;;Zwiebeln;2026-08-05;29.3;22.9;41.22;;
Kiosk Biel/Bienne;;Gurken;2026-08-04;9.3;7.8;19.5;;
Kiosk Grenchen;;Kartoffeln;2026-08-08;23.5;16.8;23.52;;
Kiosk Sempach;;Kartoffeln;2026-08-04;28.4;22.2;31.08;;
;Gemuesegarten Ryser;Zucchetti;2026-08-08;;;;84.3;92.73
Kiosk Zuerich Oerlikon;;Broccoli;2026-08-07;17.8;11.5;34.5;;
Kiosk Langenthal;;Tomaten;2026-08-08;27.3;18.5;55.5;;
Kiosk Sursee;;Zwiebeln;2026-08-06;12.7;8.6;15.48;;
Kiosk Ebikon;;Kopfsalat;2026-08-06;15.5;14.0;21.0;;
Kiosk Langnau i.E.;;Broccoli;2026-08-07;28.8;17.7;53.1;;
Kiosk Zuerich Hauptbahnhof;;Gurken;2026-08-07;10.6;6.8;17.0;;
Kiosk Adligenswil;;Gurken;2026-08-04;9.3;8.1;20.25;;
Kiosk Zuchwil;;Zucchetti;2026-08-06;28.6;21.5;36.55;;
Kiosk Derendingen;;Karotten;2026-08-08;11.1;8.2;14.76;;
Kiosk Oensingen;;Broccoli;2026-08-04;28.0;23.7;71.1;;
Kiosk Wettingen;;Kopfsalat;2026-08-07;19.4;17.8;26.7;;
Kiosk Zuerich Altstetten;;Tomaten;2026-08-06;13.4;8.0;24.0;;
Kiosk Balsthal;;Gurken;2026-08-04;27.2;19.8;49.5;;
Kiosk Zuerich Hauptbahnhof;;Tomaten;2026-08-06;22.3;13.3;39.9;;
Kiosk Thun;;Randen;2026-08-06;;7.2;12.96;;
Kiosk Wallisellen;;Broccoli;2026-08-04;26.5;21.5;64.5;;
Kiosk Horgen;;Tomaten;2026-08-05;24.8;16.5;49.5;;
Kiosk Interlaken;;Zucchetti;2026-08-06;24.9;17.1;29.07;;
Kiosk Malters;;Kopfsalat;2026-08-06;10.6;8.1;12.15;;
Kiosk Bern;;Tomaten;2026-08-05;24.2;19.9;59.7;;
Kiosk Rueti;;Zwiebeln;2026-08-06;20.2;11.9;21.42;;
Kiosk Spiez;;Kartoffeln;2026-08-08;28.2;22.3;31.22;;
Kiosk Biel/Bienne;;Kartoffeln;2026-08-07;11.1;6.9;9.66;;
Kiosk Adligenswil;;Karotten;2026-08-08;8.9;6.4;11.52;;
Kiosk Olten;;Zwiebeln;2026-08-06;15.1;14.2;25.56;;
Kiosk Trimbach;;Zwiebeln;2026-08-07;29.3;25.5;45.9;;
;Gemuesegarten Ryser;Randen;2026-08-07;;;;86.7;104.04
Kiosk Wallisellen;;Tomaten;2026-08-06;12.9;8.7;26.1;;
Kiosk Steffisburg;;Randen;2026-08-04;20.9;15.7;28.26;;
Kiosk Oftringen;;Gurken;2026-08-05;21.8;17.3;43.25;;
Kiosk Thun;;Zwiebeln;2026-08-04;24.1;18.4;33.12;;
Kiosk Zuerich Oerlikon;;Peperoni;2026-08-06;8.7;6.1;24.4;;
Kiosk Steffisburg;;Peperoni;2026-08-08;9.3;6.3;25.2;;
Kiosk Koeniz;;Tomaten;2026-08-05;11.7;8.7;26.1;;
Kiosk Derendingen;;Kartoffeln;2026-08-07;21.6;14.0;19.6;;
Kiosk Spiez;;Peperoni;2026-08-07;8.4;7.7;30.8;;
Kiosk Dulliken;;Zwiebeln;2026-08-06;26.8;24.0;43.2;;
Kiosk Burgdorf;;Zwiebeln;2026-08-04;21.4;13.2;23.76;;
Kiosk Ebikon;;Randen;2026-08-07;20.5;16.8;30.24;;
Kiosk Horw;;Kopfsalat;2026-08-08;19.8;18.1;27.15;;
;Biohof Pfister;Tomaten;2026-08-07;;;;67.2;134.4
Kiosk Horw;;Tomaten;2026-08-07;19.8;16.7;50.1;;
Kiosk Biel/Bienne;;Karotten;2026-08-07;25.8;23.0;41.4;;
Kiosk Spiez;;Karotten;2026-08-04;27.2;18.2;32.76;;
Kiosk Kriens;;Peperoni;2026-08-08;15.0;12.8;51.2;;
Kiosk Sursee;;Karotten;2026-08-07;14.1;13.1;23.58;;
Kiosk Rueti;;Gurken;2026-08-05;26.0;23.5;58.75;;
Kiosk Muensingen;;Broccoli;2026-08-04;13.0;11.9;35.7;;
Kiosk Langnau i.E.;;Peperoni;2026-08-05;28.4;24.2;96.8;;
Kiosk Duebendorf;;Tomaten;2026-08-08;23.9;15.2;45.6;;
;Gemuesegarten Ryser;Zucchetti;2026-08-07;;;;80.3;88.33
Kiosk Duebendorf;;Zucchetti;2026-08-04;25.4;15.1;25.67;;
Kiosk Root;;Gurken;2026-08-07;20.2;13.9;34.75;;
Kiosk Derendingen;;Peperoni;2026-08-05;11.7;6.8;27.2;;
Kiosk Oensingen;;Tomaten;2026-08-06;20.6;19.5;58.5;;
Kiosk Hochdorf;;Gurken;2026-08-04;15.6;11.3;28.25;;
Kiosk Zuerich Oerlikon;;Zwiebeln;2026-08-08;17.2;14.6;26.28;;
Kiosk Adligenswil;;Zucchetti;2026-08-06;17.7;13.1;22.27;;
Kiosk Illnau-Effretikon;;Randen;2026-08-04;19.1;11.8;21.24;;
Kiosk Olten;;Peperoni;2026-08-07;27.0;23.8;95.2;;
Kiosk Volketswil;;Randen;2026-08-04;17.9;15.6;28.08;;
;Biohof Pfister;Tomaten;2026-08-05;;;;51.5;103.0
Kiosk Rueti;;Randen;2026-08-05;25.6;15.5;27.9;;
Kiosk Dulliken;;Gurken;2026-08-04;13.2;10.9;27.25;;
Kiosk Kloten;;Zwiebeln;2026-08-08;16.9;13.6;24.48;;
Kiosk Willisau;;Kartoffeln;2026-08-04;21.7;14.0;19.6;;
Kiosk Emmen;;Randen;2026-08-08;9.8;6.0;10.8;;
Kiosk Baden;;Tomaten;2026-08-06;9.5;7.2;21.6;;
Kiosk Regensdorf;;Karotten;2026-08-05;11.8;7.2;12.96;;
Kiosk Brugg;;Gurken;2026-08-05;25.4;16.4;41.0;;
Kiosk Root;;Peperoni;2026-08-07;20.2;13.1;52.4;;
Kiosk Baden;;Gurken;2026-08-04;16.6;12.3;30.75;;
Kiosk Langnau i.E.;;Kartoffeln;2026-08-05;23.7;16.8;23.52;;
Kiosk Grenchen;;Gurken;2026-08-04;18.2;10.9;27.25;;
Kiosk Uster;;Peperoni;2026-08-08;14.6;11.8;47.2;;
Kiosk Schuepfheim;;Broccoli;2026-08-07;18.5;12.7;38.1;;
Kiosk Aarau;;Karotten;2026-08-06;12.7;7.7;13.86;;
Kiosk Lenzburg;;Kopfsalat;2026-08-08;25.6;21.0;31.5;;
Kiosk Frutigen;;Kartoffeln;2026-08-06;9.0;6.5;9.1;;
Kiosk Dulliken;;Kartoffeln;2026-08-07;27.2;15.4;21.56;;
Kiosk Balsthal;;Zucchetti;2026-08-05;18.9;10.7;18.19;;
Kiosk Illnau-Effretikon;;Tomaten;2026-08-08;19.5;12.0;36.0;;
Kiosk Belp;;Zwiebeln;2026-08-04;27.8;17.6;31.68;;
Kiosk Horw;;Peperoni;2026-08-06;22.7;19.7;78.8;;
Kiosk Opfikon;;Broccoli;2026-08-08;22.9;15.2;45.6;;
Kiosk Balsthal;;Zwiebeln;2026-08-07;16.5;13.5;24.3;;
Kiosk Rheinfelden;;Gurken;2026-08-06;25.6;21.5;53.75;;
Kiosk Muri bei Bern;;Tomaten;2026-08-05;20.0;17.7;53.1;;
Kiosk Wohlen;;Kartoffeln;2026-08-07;29.6;21.9;30.66;;
Kiosk Winterthur;;Karotten;2026-08-04;22.5;12.6;22.68;;
;Gemuesegarten Ryser;Zucchetti;2026-08-07;;;;104.4;114.84
Kiosk Burgdorf;;Tomaten;2026-08-05;11.6;8.1;24.3;;
Kiosk Olten;;Tomaten;2026-08-04;22.5;17.3;51.9;;
Kiosk Waedenswil;;Karotten;2026-08-07;18.7;13.6;24.48;;
Kiosk Wattenwil;;Randen;2026-08-06;11.9;11.1;19.98;;
Kiosk Moehlin;;Gurken;2026-08-05;15.6;14.5;36.25;;
Kiosk Olten;;Randen;2026-08-08;24.6;19.7;35.46;;
Kiosk Illnau-Effretikon;;Zucchetti;2026-08-06;28.2;19.9;33.83;;
Kiosk Dietikon;;Zucchetti;2026-08-08;29.0;22.5;38.25;;
Kiosk Adligenswil;;Peperoni;2026-08-08;24.5;19.1;76.4;;
Kiosk Ebikon;;Broccoli;2026-08-06;15.1;9.8;29.4;;
Kiosk Rueti;;Zucchetti;2026-08-05;26.3;15.4;26.18;;
Kiosk Opfikon;;Kartoffeln;2026-08-08;22.6;20.7;28.98;;
Kiosk Worb;;Randen;2026-08-06;27.4;24.7;44.46;;
Kiosk Opfikon;;Zwiebeln;2026-08-04;14.8;10.4;18.72;;
Kiosk Kriens;;Zucchetti;2026-08-07;21.5;18.0;30.6;;
;Biohof Pfister;Tomaten;2026-08-06;;;;48.6;97.2
Kiosk Volketswil;;Tomaten;2026-08-07;20.8;19.4;58.2;;
Kiosk Zollikofen;;Kopfsalat;2026-08-06;18.1;16.7;25.05;;
Kiosk Bern;;Kopfsalat;2026-08-08;9.9;7.1;10.65;;
Kiosk Zollikofen;;Broccoli;2026-08-04;17.2;13.5;40.5;;
Kiosk Belp;;Peperoni;2026-08-08;24.5;22.5;90.0;;
Kiosk Wetzikon;;Broccoli;2026-08-05;11.4;8.5;25.5;;
Kiosk Langnau i.E.;;Tomaten;2026-08-08;24.8;14.9;44.7;;
Kiosk Derendingen;;Randen;2026-08-08;17.1;14.1;25.38;;
Kiosk Interlaken;;Gurken;2026-08-08;29.9;22.8;57.0;;
Kiosk Schuepfheim;;Gurken;2026-08-04;20.7;17.1;42.75;;
Kiosk Uster;;Gurken;2026-08-06;19.3;11.5;28.75;;
Kiosk Interlaken;;Zwiebeln;2026-08-05;21.8;18.9;34.02;;
Kiosk Moehlin;;Randen;2026-08-05;17.5;16.0;28.8;;
Kiosk Buelach;;Peperoni;2026-08-06;14.9;10.1;40.4;;
Kiosk Buelach;;Kopfsalat;2026-08-04;10.0;7.6;11.4;;
Kiosk Duebendorf;;Kopfsalat;2026-08-07;27.5;19.7;29.55;;
Kiosk Buelach;;Karotten;2026-08-08;22.5;13.0;23.4;;
Kiosk Moehlin;;Kopfsalat;2026-08-04;26.3;19.9;29.85;;
Kiosk Root;;Tomaten;2026-08-07;22.2;16.6;49.8;;
Kiosk Muensingen;;Gurken;2026-08-07;12.7;7.7;19.25;;
Kiosk Oensingen;;Randen;2026-08-07;14.0;10.9;19.62;;
Kiosk Solothurn;;Kopfsalat;2026-08-07;29.3;21.6;32.4;;
Kiosk Brugg;;Karotten;2026-08-06;18.3;17.3;31.14;;
Kiosk Hochdorf;;Kopfsalat;2026-08-06;9.5;7.7;11.55;;
Kiosk Aarau;;Zwiebeln;2026-08-08;20.7;17.3;31.14;;
Kiosk Horgen;;Kopfsalat;2026-08-05;10.8;8.2;12.3;;
Kiosk Konolfingen;;Karotten;2026-08-04;16.4;9.3;16.74;;
Kiosk Lenzburg;;Karotten;2026-08-08;11.0;7.7;13.86;;
Kiosk Bern;;Gurken;2026-08-08;8.6;5.4;13.5;;
Kiosk Biel/Bienne;;Zucchetti;2026-08-04;22.8;21.5;36.55;;
Kiosk Rothenburg;;Tomaten;2026-08-08;22.5;20.8;62.4;;
;Biohof Pfister;Tomaten;2026-08-07;;;;40.7;81.4
Kiosk Malters;;Kartoffeln;2026-08-05;14.5;10.1;14.14;;
Kiosk Kriens;;Randen;2026-08-07;17.9;15.2;27.36;;
;Gemuesegarten Ryser;Gurken;2026-08-06;;;;114.7;183.52
Kiosk Muensingen;;Peperoni;2026-08-05;20.9;11.6;46.4;;
Kiosk Konolfingen;;Zwiebeln;2026-08-07;25.6;22.9;41.22;;
Kiosk Spiez;;Zwiebeln;2026-08-08;24.8;18.7;33.66;;
Kiosk Grenchen;;Kopfsalat;2026-08-07;29.6;19.2;28.8;;
;Gemuesegarten Ryser;Randen;2026-08-04;;;;62.5;75.0
Kiosk Worb;;Gurken;2026-08-06;14.3;10.4;26.0;;
Kiosk Rheinfelden;;Zwiebeln;2026-08-06;14.0;12.2;21.96;;
Kiosk Horw;;Karotten;2026-08-05;26.5;24.3;43.74;;
Kiosk Balsthal;;Karotten;2026-08-08;29.2;19.9;35.82;;
Kiosk Langnau i.E.;;Zucchetti;2026-08-07;26.0;24.5;41.65;;
Kiosk Langendorf;;Zucchetti;2026-08-06;22.9;19.2;32.64;;
Kiosk Derendingen;;Broccoli;2026-08-06;16.2;9.9;29.7;;
Kiosk Volketswil;;Zucchetti;2026-08-04;21.5;16.2;27.54;;
Kiosk Sursee;;Peperoni;2026-08-07;13.5;7.9;31.6;;
Kiosk Rheinfelden;;Peperoni;2026-08-06;15.9;13.7;54.8;;
Kiosk Adliswil;;Gurken;2026-08-07;12.2;11.6;29.0;;
Kiosk Wohlen;;Randen;2026-08-05;27.5;18.6;33.48;;
Kiosk Ittigen;;Kopfsalat;2026-08-08;11.4;7.6;11.4;;
Kiosk Konolfingen;;Tomaten;2026-08-05;13.9;12.0;36.0;;
Kiosk Trimbach;;Karotten;2026-08-06;19.8;14.5;26.1;;
Kiosk Oensingen;;Zucchetti;2026-08-06;8.5;7.5;12.75;;
Kiosk Koeniz;;Peperoni;2026-08-05;27.0;24.6;98.4;;
Kiosk Regensdorf;;Randen;2026-08-07;18.2;14.1;25.38;;
Kiosk Thun;;Zucchetti;2026-08-06;14.1;9.0;15.3;;
Kiosk Zuerich Altstetten;;Zucchetti;2026-08-08;12.5;11.0;18.7;;
;Gemuesegarten Ryser;Zucchetti;2026-08-05;;;;47.7;52.47
Kiosk Frutigen;;Zwiebeln;2026-08-08;28.4;21.7;39.06;;
Kiosk Zuerich Hauptbahnhof;;Zwiebeln;2026-08-08;15.2;12.1;21.78;;
Kiosk Grenchen;;Broccoli;2026-08-04;20.1;11.8;35.4;;
Kiosk Langenthal;;Zucchetti;2026-08-07;16.7;15.3;26.01;;
Kiosk Wattenwil;;Tomaten;2026-08-06;15.7;11.8;35.4;;
Kiosk Lenzburg;;Gurken;2026-08-07;8.8;5.1;12.75;;
Kiosk Wattenwil;;Zucchetti;2026-08-06;27.0;25.3;43.01;;
;Biohof Pfister;Zwiebeln;2026-08-05;;;;75.2;67.68
Kiosk Kriens;;Gurken;2026-08-06;24.8;18.8;47.0;;
Kiosk Muensingen;;Kartoffeln;2026-08-08;20.7;13.4;18.76;;
Kiosk Spiez;;Randen;07.08.2026;21.4;13.1;23.58;;
Kiosk Hochdorf;;Broccoli;2026-08-04;26.7;23.5;70.5;;
Kiosk Malters;;Tomaten;2026-08-08;21.1;19.9;59.7;;
Kiosk Waedenswil;;Gurken;2026-08-06;17.5;11.6;29.0;;
Kiosk Meiringen;;Zucchetti;2026-08-05;17.5;13.7;23.29;;
Kiosk Adliswil;;Peperoni;2026-08-05;28.9;19.8;79.2;;
Kiosk Wettingen;;Zucchetti;2026-08-04;13.8;9.0;15.3;;
Kiosk Zuchwil;;Zwiebeln;2026-08-06;25.0;22.3;40.14;;
Kiosk Belp;;Karotten;2026-08-05;22.7;15.7;28.26;;
Kiosk Bern;;Zucchetti;2026-08-04;10.1;6.5;11.05;;
Kiosk Wetzikon;;Kartoffeln;2026-08-04;24.8;19.3;27.02;;
Kiosk Volketswil;;Peperoni;2026-08-06;18.2;10.3;41.2;;
Kiosk Aarau;;Randen;2026-08-08;19.6;11.7;21.06;;
Kiosk Lenzburg;;Zucchetti;2026-08-06;16.2;13.9;23.63;;
Kiosk Rueti;;Broccoli;2026-08-05;14.0;12.8;38.4;;
Kiosk Biel/Bienne;;Peperoni;2026-08-07;13.5;12.4;49.6;;
Kiosk Wohlen;;Karotten;2026-08-05;25.9;14.9;26.82;;
Kiosk Emmen;;Kopfsalat;2026-08-05;14.0;9.5;14.25;;
Kiosk Volketswil;;Broccoli;2026-08-07;21.9;19.0;57.0;;
Kiosk Winterthur;;Tomaten;2026-08-04;15.9;13.8;41.4;;
Kiosk Interlaken;;Peperoni;2026-08-08;26.9;14.9;59.6;;
Kiosk Aarau;;Tomaten;2026-08-07;9.4;8.3;24.9;;
Kiosk Emmen;;Kartoffeln;2026-08-04;17.1;11.7;16.38;;
Kiosk Koeniz;;Broccoli;2026-08-05;16.3;15.4;46.2;;
Kiosk Thalwil;;Zwiebeln;2026-08-07;9.0;6.3;11.34;;
Kiosk Sempach;;Randen;2026-08-08;29.2;24.5;44.1;;
Kiosk Zofingen;;Peperoni;2026-08-04;24.0;22.0;88.0;;
Kiosk Willisau;;Gurken;2026-08-07;22.7;17.6;44.0;;
Kiosk Uster;;Randen;2026-08-08;12.9;10.3;18.54;;
Kiosk Meiringen;;Randen;2026-08-06;18.2;13.2;23.76;;
Kiosk Luzern;;Broccoli;2026-08-07;18.9;12.2;36.6;;
Kiosk Regensdorf;;Zwiebeln;2026-08-04;19.7;12.4;22.32;;
Kiosk Sursee;;Gurken;2026-08-07;12.0;7.8;19.5;;
Kiosk Derendingen;;Gurken;2026-08-04;15.1;8.6;21.5;;
Kiosk Reiden;;Peperoni;2026-08-04;28.8;18.2;72.8;;
Kiosk Muensingen;;Randen;2026-08-04;15.4;;21.78;;
Kiosk Kloten;;Zucchetti;2026-08-06;11.8;11.0;18.7;;
Kiosk Interlaken;;Broccoli;2026-08-04;24.6;22.0;66.0;;
Kiosk Hochdorf;;Peperoni;2026-08-07;23.6;17.1;68.4;;
Kiosk Ittigen;;Randen;2026-08-06;19.1;12.4;22.32;;
Kiosk Reiden;;Kopfsalat;2026-08-06;20.5;11.8;17.7;;
Kiosk Grenchen;;Randen;2026-08-05;23.6;15.9;28.62;;
Kiosk Baden;;Zwiebeln;2026-08-05;22.6;13.2;23.76;;
Kiosk Duebendorf;;Zwiebeln;2026-08-06;21.4;12.3;22.14;;
Kiosk Aarau;;Peperoni;2026-08-06;13.2;7.9;31.6;;
Kiosk Steffisburg;;Karotten;2026-08-04;22.9;14.7;26.46;;
Kiosk Regensdorf;;Kartoffeln;2026-08-04;11.9;10.2;14.28;;
Kiosk Sempach;;Kopfsalat;2026-08-05;29.2;17.3;25.95;;
Kiosk Dietikon;;Broccoli;2026-08-07;9.5;8.4;25.2;;
Kiosk Reiden;;Zwiebeln;2026-08-05;13.8;8.0;14.4;;
Kiosk Wohlen;;Gurken;2026-08-08;15.4;12.4;31.0;;
Kiosk Malters;;Broccoli;2026-08-05;12.2;10.3;30.9;;
;Biohof Pfister;Karotten;2026-08-04;;;;79.9;71.91
Kiosk Adliswil;;Zucchetti;2026-08-08;8.8;6.0;10.2;;
Kiosk Hochdorf;;Zwiebeln;2026-08-04;17.5;12.2;21.96;;
Kiosk Volketswil;;Kartoffeln;2026-08-08;9.2;6.9;9.66;;
Kiosk Kriens;;Zwiebeln;2026-08-08;17.4;15.9;28.62;;
Kiosk Ebikon;;Zucchetti;2026-08-06;8.6;7.7;13.09;;
;Biohof Pfister;Karotten;2026-08-06;;;;79.9;71.91
Kiosk Sempach;;Gurken;2026-08-07;16.7;14.0;35.0;;
Kiosk Horw;;Broccoli;2026-08-08;27.8;20.7;62.1;;
Kiosk Frutigen;;Kopfsalat;2026-08-04;23.8;15.9;23.85;;
Kiosk Trimbach;;Broccoli;2026-08-06;25.7;18.9;56.7;;
;Biohof Pfister;Tomaten;2026-08-08;;;;50.7;101.4
Kiosk Rheinfelden;;Karotten;2026-08-07;15.5;9.7;17.46;;
Kiosk Volketswil;;Gurken;2026-08-06;26.3;15.3;38.25;;
Kiosk Rothenburg;;Gurken;2026-08-06;23.5;17.2;43.0;;
Kiosk Duebendorf;;Gurken;2026-08-06;21.7;17.0;42.5;;
Kiosk Reiden;;Broccoli;2026-08-06;26.9;25.4;76.2;;
Kiosk Brugg;;Kartoffeln;2026-08-06;19.2;11.5;16.1;;
Kiosk Oensingen;;Karotten;2026-08-07;10.3;7.2;12.96;;
Kiosk Konolfingen;;Randen;2026-08-07;15.7;13.8;24.84;;
Kiosk Wettingen;;Kartoffeln;2026-08-04;17.9;16.3;22.82;;
Kiosk Solothurn;;Tomaten;2026-08-06;12.0;9.4;28.2;;
Kiosk Winterthur;;Kartoffeln;2026-08-05;19.9;17.3;24.22;;
Kiosk Langendorf;;Gurken;2026-08-06;15.2;10.9;27.25;;
Kiosk Opfikon;;Tomaten;2026-08-08;27.2;18.6;55.8;;
Kiosk Malters;;Gurken;2026-08-06;8.3;6.3;15.75;;
Kiosk Dietikon;;Gurken;2026-08-04;17.5;14.8;37.0;;
Kiosk Luzern;;Gurken;2026-08-04;9.0;8.5;21.25;;
Kiosk Oftringen;;Karotten;2026-08-04;28.9;24.8;44.64;;
;Biohof Pfister;Zwiebeln;2026-08-06;;;;44.8;40.32
Kiosk Spiez;;Tomaten;2026-08-05;19.9;17.1;51.3;;
